,file,run,types,prevs,n_dropped,outcome,total_time,max_time,median_time,n_runs,run_id,Specification,Expressions,Result
27,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,4,['A'],False,3,SimEnv.Realizable,71.2027223110199,7.43650221824646,7.087560057640076,10,110,Traffic,A,Realizable
28,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,5,['A'],False,4,SimEnv.Realizable,69.0414457321167,7.249322652816772,6.8479050397872925,10,110,Traffic,A,Realizable
29,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,6,['A'],False,4,SimEnv.Realizable,68.9093370437622,7.524185419082642,6.824037194252014,10,110,Traffic,A,Realizable
30,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,7,['A'],False,3,SimEnv.Realizable,71.4952929019928,7.780707597732544,7.0064918994903564,10,110,Traffic,A,Realizable
31,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,8,['A'],False,3,SimEnv.Realizable,67.31612515449524,6.918725252151489,6.734468460083008,10,110,Traffic,A,Realizable
32,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,9,['A'],False,2,SimEnv.Success,27.54698657989502,7.206203937530518,6.784394264221191,4,110,Traffic,A,Success
33,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,0,"['A,G']",False,5,SimEnv.Realizable,141.52223753929138,30.602142810821533,13.434757947921751,10,110,Traffic,"A,G",Realizable
34,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,1,"['A,G']",False,8,SimEnv.Realizable,68.24109482765198,6.985730886459351,6.809290289878845,10,110,Traffic,"A,G",Realizable
35,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,2,"['A,G']",False,7,SimEnv.Realizable,139.7045407295227,22.36807370185852,13.930076956748962,10,110,Traffic,"A,G",Realizable
36,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,3,"['A,G']",False,8,SimEnv.Realizable,73.90752625465393,8.25159215927124,7.28324294090271,10,110,Traffic,"A,G",Realizable
37,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,4,"['A,G']",False,7,SimEnv.Realizable,172.47190690040588,43.281938552856445,15.267494916915894,10,110,Traffic,"A,G",Realizable
38,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,5,"['A,G']",False,6,SimEnv.Realizable,72.837477684021,7.464416027069092,7.275209903717041,10,110,Traffic,"A,G",Realizable
39,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,6,"['A,G']",False,9,SimEnv.Realizable,70.11980152130127,7.483897924423218,6.9647533893585205,10,110,Traffic,"A,G",Realizable
40,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,7,"['A,G']",False,4,SimEnv.Realizable,72.21258401870728,8.10718560218811,7.073003530502319,10,110,Traffic,"A,G",Realizable
41,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,8,"['A,G']",False,7,SimEnv.Realizable,235.05714201927185,41.01373362541199,25.514301300048828,10,110,Traffic,"A,G",Realizable
42,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,9,"['A,G']",False,6,SimEnv.Realizable,71.43800830841064,7.726151466369629,7.057991623878479,10,110,Traffic,"A,G",Realizable
43,../Translators/input-files/examples/lift_FINAL.spectra,0,['A'],False,2,SimEnv.Success,16.55508327484131,16.55508327484131,16.55508327484131,1,110,Lift,A,Success
44,../Translators/input-files/examples/lift_FINAL.spectra,1,['A'],False,5,SimEnv.Success,16.329596996307373,16.329596996307373,16.329596996307373,1,110,Lift,A,Success
45,../Translators/input-files/examples/lift_FINAL.spectra,2,['A'],False,6,SimEnv.Success,8494.326981306076,3776.5925030708313,3652.408539295197,3,110,Lift,A,Success
46,../Translators/input-files/examples/lift_FINAL.spectra,3,['A'],False,5,SimEnv.Success,17.630379676818848,17.630379676818848,17.630379676818848,1,110,Lift,A,Success
47,../Translators/input-files/examples/lift_FINAL.spectra,4,['A'],False,6,SimEnv.Success,127.2584912776947,79.92027449607849,63.62924563884735,2,110,Lift,A,Success
48,../Translators/input-files/examples/lift_FINAL.spectra,5,['A'],False,4,SimEnv.Success,16.676822185516357,16.676822185516357,16.676822185516357,1,110,Lift,A,Success
49,../Translators/input-files/examples/lift_FINAL.spectra,6,['A'],False,6,SimEnv.Success,16.88617730140686,16.88617730140686,16.88617730140686,1,110,Lift,A,Success
50,../Translators/input-files/examples/lift_FINAL.spectra,7,['A'],False,4,SimEnv.Success,16.832284927368164,16.832284927368164,16.832284927368164,1,110,Lift,A,Success
51,../Translators/input-files/examples/lift_FINAL.spectra,8,['A'],False,6,SimEnv.Success,16.642791032791138,16.642791032791138,16.642791032791138,1,110,Lift,A,Success
52,../Translators/input-files/examples/lift_FINAL.spectra,9,['A'],False,5,SimEnv.Success,142.33921885490415,100.54007649421692,71.16960942745209,2,110,Lift,A,Success
53,../Translators/input-files/examples/lift_FINAL.spectra,0,"['A,G']",False,3,SimEnv.Success,16.95811653137207,16.95811653137207,16.95811653137207,1,110,Lift,"A,G",Success
54,../Translators/input-files/examples/lift_FINAL.spectra,1,"['A,G']",False,1,SimEnv.Success,17.82970690727234,17.82970690727234,17.82970690727234,1,110,Lift,"A,G",Success
55,../Translators/input-files/examples/lift_FINAL.spectra,2,"['A,G']",False,2,SimEnv.Success,17.625221729278564,17.625221729278564,17.625221729278564,1,110,Lift,"A,G",Success
56,../Translators/input-files/examples/lift_FINAL.spectra,3,"['A,G']",False,4,SimEnv.Realizable,167.67465615272522,17.152960300445557,16.869619965553284,10,110,Lift,"A,G",Realizable
57,../Translators/input-files/examples/lift_FINAL.spectra,4,"['A,G']",False,1,SimEnv.Success,15.927270412445068,15.927270412445068,15.927270412445068,1,110,Lift,"A,G",Success
58,../Translators/input-files/examples/lift_FINAL.spectra,5,"['A,G']",False,3,SimEnv.Success,80.6391396522522,64.30383491516113,40.3195698261261,2,110,Lift,"A,G",Success
59,../Translators/input-files/examples/lift_FINAL.spectra,6,"['A,G']",False,1,SimEnv.Success,16.240853309631348,16.240853309631348,16.240853309631348,1,110,Lift,"A,G",Success
60,../Translators/input-files/examples/lift_FINAL.spectra,7,"['A,G']",False,15,SimEnv.Success,32.696550607681274,32.696550607681274,32.696550607681274,1,110,Lift,"A,G",Success
