,file,run,types,prevs,n_dropped,outcome,total_time,max_time,median_time,n_runs
0,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,0,['A'],False,2,SimEnv.Realizable,76.86880779266357,9.58907437324524,8.821811556816101,10
1,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,1,['A'],False,1,SimEnv.Success,19.1793053150177,6.038834571838379,4.402885317802429,4
2,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,2,['A'],False,1,SimEnv.Success,8.5132474899292,8.5132474899292,8.5132474899292,1
3,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,3,['A'],False,2,SimEnv.Realizable,44.085341453552246,4.449570655822754,4.40293550491333,10
4,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,4,['A'],False,2,SimEnv.Realizable,83.15607619285583,9.35663914680481,8.631387591362,10
5,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,5,['A'],False,1,SimEnv.Success,8.531207084655762,8.531207084655762,8.531207084655762,1
6,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,6,['A'],False,2,SimEnv.Realizable,44.355963945388794,4.560241222381592,4.447824239730835,10
7,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,7,['A'],False,1,SimEnv.Success,8.40709400177002,8.40709400177002,8.40709400177002,1
8,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,8,['A'],False,1,SimEnv.Success,8.687922477722168,4.409707546234131,4.343961238861084,2
9,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,9,['A'],False,2,SimEnv.Realizable,44.07377576828003,4.586305141448975,4.361239671707153,10
10,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,0,"['A,G']",False,3,SimEnv.Realizable,46.099090337753296,4.930289030075073,4.6285001039505005,10
11,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,1,"['A,G']",False,5,SimEnv.Success,27.69361400604248,4.7578442096710205,4.609058737754822,6
12,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,2,"['A,G']",False,1,SimEnv.Success,4.566600561141968,4.566600561141968,4.566600561141968,1
13,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,3,"['A,G']",False,4,SimEnv.Realizable,86.2421178817749,11.027666568756104,9.901702404022217,10
14,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,4,"['A,G']",False,4,SimEnv.Realizable,47.860570192337036,5.3280229568481445,4.741742014884949,10
15,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,5,"['A,G']",False,5,SimEnv.Realizable,46.82847332954407,4.989379405975342,4.671223402023315,10
16,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,6,"['A,G']",False,1,SimEnv.Success,4.51874041557312,4.51874041557312,4.51874041557312,1
17,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,7,"['A,G']",False,5,SimEnv.Realizable,48.92558979988098,5.291854619979858,4.912306308746338,10
18,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,8,"['A,G']",False,4,SimEnv.Realizable,47.348531007766724,4.989784002304077,4.736868977546692,10
19,../Translators/input-files/examples/Traffic/traffic_single_FINAL.spectra,9,"['A,G']",False,3,SimEnv.Success,9.189612865447998,4.5972740650177,4.594806432723999,2
20,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,0,['A'],False,2,SimEnv.Realizable,72.75205850601196,7.9714415073394775,7.2036439180374146,10
21,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,1,['A'],False,3,SimEnv.Realizable,66.78706932067871,6.976343154907227,6.599747896194458,10
22,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,2,['A'],False,1,SimEnv.Success,6.644291639328003,6.644291639328003,6.644291639328003,1
23,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,3,['A'],False,3,SimEnv.Realizable,67.32787895202637,7.101380825042725,6.67585015296936,10
24,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,4,['A'],False,3,SimEnv.Realizable,66.53819012641907,6.8741724491119385,6.611675024032593,10
25,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,5,['A'],False,4,SimEnv.Realizable,70.19596123695374,7.282358169555664,6.98882782459259,10
26,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,6,['A'],False,3,SimEnv.Realizable,69.71725296974182,7.3015265464782715,6.975045084953308,10
27,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,7,['A'],False,1,SimEnv.Success,27.519572973251343,7.396505117416382,6.762229800224304,4
28,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,8,['A'],False,4,SimEnv.Realizable,70.81321549415588,8.543301343917847,6.841259002685547,10
29,../Translators/input-files/examples/Traffic/traffic_updated_FINAL.spectra,9,['A'],False,3,SimEnv.Realizable,67.76400446891785,7.45472264289856,6.694490432739258,10
