,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.5884652137756348,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed208.spectra,2023-08-16 18:15:25,FastLAS,True
1,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.5731151103973389,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed209.spectra,2023-08-16 18:15:25,FastLAS,True
2,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.5033600330352783,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed210.spectra,2023-08-16 18:15:25,FastLAS,True
3,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.525527000427246,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed211.spectra,2023-08-16 18:15:25,FastLAS,True
4,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.631371021270752,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed252.spectra,2023-08-16 18:15:25,FastLAS,True
5,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.5256357192993164,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed253.spectra,2023-08-16 18:15:25,FastLAS,True
6,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.5262069702148438,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed254.spectra,2023-08-16 18:15:25,FastLAS,True
7,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6606268882751465,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed310.spectra,2023-08-16 18:15:25,FastLAS,True
8,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.5015392303466797,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed311.spectra,2023-08-16 18:15:25,FastLAS,True
9,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.496649980545044,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed312.spectra,2023-08-16 18:15:25,FastLAS,True
10,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.4836959838867188,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed313.spectra,2023-08-16 18:15:25,FastLAS,True
11,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.5387189388275146,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed314.spectra,2023-08-16 18:15:25,FastLAS,True
