,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6289591789245605,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed164.spectra,2023-06-18 23:59:32,FastLAS,True
1,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6114161014556885,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed165.spectra,2023-06-18 23:59:32,FastLAS,True
2,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.535693883895874,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed166.spectra,2023-06-18 23:59:32,FastLAS,True
3,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6979262828826904,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed167.spectra,2023-06-18 23:59:32,FastLAS,True
4,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.5338759422302246,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed228.spectra,2023-06-18 23:59:32,FastLAS,True
5,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.5431709289550781,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed229.spectra,2023-06-18 23:59:32,FastLAS,True
6,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,1.5201778411865234,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed230.spectra,2023-06-18 23:59:32,FastLAS,True
7,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.598050832748413,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed274.spectra,2023-06-18 23:59:32,FastLAS,True
8,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.562246322631836,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed275.spectra,2023-06-18 23:59:32,FastLAS,True
9,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.273258686065674,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed276.spectra,2023-06-18 23:59:32,FastLAS,True
10,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6020519733428955,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed277.spectra,2023-06-18 23:59:32,FastLAS,True
11,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.6683881282806396,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed278.spectra,2023-06-18 23:59:32,FastLAS,True
12,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,1.8172681331634521,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed279.spectra,2023-06-18 23:59:32,FastLAS,True
