,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,1,1,3.0,1,0,26.927364826202393,Realizable,../Translators/output-files/rq_files/minepump_fixed12.spectra,2022-09-22 15:38:20,ILASP,False
1,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,23.149085521697998,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed13.spectra,2022-09-22 15:38:20,ILASP,False
2,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,23.44617223739624,Success,../Translators/output-files/rq_files/minepump_fixed14.spectra,2022-09-22 15:38:20,ILASP,False
3,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,2,2.25,1,0,29.5189528465271,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed15.spectra,2022-09-22 15:38:20,ILASP,False
4,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,25.753907680511475,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed16.spectra,2022-09-22 15:38:20,ILASP,False
5,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,29.819633960723877,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed17.spectra,2022-09-22 15:38:20,ILASP,False
6,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,23.175411701202393,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed18.spectra,2022-09-22 15:38:20,ILASP,False
7,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,22.881497859954834,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed19.spectra,2022-09-22 15:38:20,ILASP,False
8,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,2,2.25,1,0,28.679975271224976,Incorrect Guarantees,../Translators/output-files/rq_files/minepump_fixed110.spectra,2022-09-22 15:38:20,ILASP,False
9,Minepump,True,1,2,2,1,2.0,2,2,2.0,2,2,2,1,2.3333333333333335,1,0,22.745940685272217,Success,../Translators/output-files/rq_files/minepump_fixed111.spectra,2022-09-22 15:38:20,ILASP,False
