,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,av_temporals_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result
0,Traffic Single,False,1,3,2,1,3.0,2.0,1,1,3.0,1,1,15.770545721054077,Realizable
1,Traffic Single,False,1,3,2,1,3.0,2.0,1,1,3.0,1,1,15.170031785964966,Realizable
2,Traffic Single,False,1,3,2,1,3.0,2.0,1,0,2.0,1,0,4.919469356536865,Realizable
3,Traffic Single,False,1,3,2,1,3.0,2.0,1,0,2.0,1,0,5.181196451187134,Realizable
4,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,5.252580165863037,Realizable
5,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,4.929931402206421,Realizable
6,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,5.267289161682129,Realizable
7,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,5.112570285797119,Realizable
8,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,4.958746433258057,Realizable
9,Traffic Single,False,2,3,2,1,3.0,2.0,1,0,2.0,1,0,4.645270109176636,Realizable
10,Traffic,False,1,5,4,2,3.0,2.0,1,0,9.0,2,0,7.536256790161133,Realizable
11,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,8.098031520843506,Realizable
12,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,8.351183414459229,Realizable
13,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,7.744240045547485,Realizable
14,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,8.03640866279602,Realizable
15,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,7.831017255783081,Realizable
16,Traffic,False,1,5,4,2,3.0,2.0,1,0,9.0,2,0,7.655726432800293,Realizable
17,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,7.748015403747559,Realizable
18,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,8.113950490951538,Realizable
19,Traffic,False,1,5,4,1,3.0,2.0,1,0,3.0,1,0,8.260696649551392,Realizable
