,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,2.7788174152374268,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped0_fixed211.spectra,2022-10-06 20:02:57,FastLAS,True
1,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,2.483474016189575,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped0_fixed212.spectra,2022-10-06 20:02:57,FastLAS,True
2,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,0,0,0,2.779090166091919,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped0_fixed213.spectra,2022-10-06 20:02:57,FastLAS,True
3,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.701770782470703,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed244.spectra,2022-10-06 20:02:57,FastLAS,True
4,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.535444736480713,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed245.spectra,2022-10-06 20:02:57,FastLAS,True
5,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.911374568939209,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed246.spectra,2022-10-06 20:02:57,FastLAS,True
6,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.764237403869629,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed247.spectra,2022-10-06 20:02:57,FastLAS,True
7,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.5969204902648926,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed248.spectra,2022-10-06 20:02:57,FastLAS,True
8,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,0,0,0,2.559875011444092,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped1_fixed249.spectra,2022-10-06 20:02:57,FastLAS,True
9,Minepump,False,1,1,2,1,1.0,1,1,1.0,1,1,1,0,0,0,0,2.6978960037231445,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped10_fixed152.spectra,2022-10-06 20:02:57,FastLAS,True
10,Minepump,False,1,1,2,1,1.0,1,1,1.0,1,1,1,0,0,0,0,2.5766000747680664,Realizable,../Translators/output-files/rq_files/minepump_fixed1_dropped10_fixed153.spectra,2022-10-06 20:02:57,FastLAS,True
