,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,3.0,0,0,23.928308963775635,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed220.spectra,2023-08-16 20:46:42,ILASP,True
1,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,2.0,0,0,25.31467890739441,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed221.spectra,2023-08-16 20:46:42,ILASP,True
2,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,6.0,0,0,28.067083835601807,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed222.spectra,2023-08-16 20:46:42,ILASP,True
3,Minepump,False,3,1,2,1,2.0,2,2,3.0,3,3,1,0,6.0,0,0,27.98708701133728,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped2_fixed223.spectra,2023-08-16 20:46:42,ILASP,True
4,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,8.0,0,0,22.365872144699097,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed261.spectra,2023-08-16 20:46:42,ILASP,True
5,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,8.0,0,0,21.378479957580566,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed262.spectra,2023-08-16 20:46:42,ILASP,True
6,Minepump,False,3,1,2,1,2.0,2,2,4.0,4,4,1,0,8.0,0,0,21.441306829452515,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped0_fixed263.spectra,2023-08-16 20:46:42,ILASP,True
7,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,5.0,0,0,23.67219567298889,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed328.spectra,2023-08-16 20:46:42,ILASP,True
8,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,5.0,0,0,23.656615018844604,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed329.spectra,2023-08-16 20:46:42,ILASP,True
9,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,5.0,0,0,23.327264070510864,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed330.spectra,2023-08-16 20:46:42,ILASP,True
10,Minepump,False,2,1,2,1,2.0,2,2,3.0,3,3,1,0,5.0,0,0,23.565427780151367,Alternative Realizable Specification Produced,output-files/rq_files/minepump_fixed1_dropped1_fixed331.spectra,2023-08-16 20:46:42,ILASP,True
