,name,random_hypothesis,trace_length,n_assumptions,n_guarantees,n_violations,av_variables_in_violations,min_var_in_violations,max_var_in_violations,av_temporals_in_violations,min_temp_in_violations,max_temp_in_violations,n_assumption_realizability_checks,n_guarantee_realizability_checks,av_min_solutions,n_weakened_assumptions,n_weakened_guarantees,learning_time,result,file,timestamp,learner,temporals
0,Traffic,False,2,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.821784019470215,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned168.spectra,2022-10-10 14:32:48,FastLAS,True
1,Traffic,False,2,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.7025697231292725,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned169.spectra,2022-10-10 14:32:48,FastLAS,False
2,Traffic,False,2,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.7299418449401855,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned170.spectra,2022-10-10 14:32:48,FastLAS,True
3,Traffic,False,2,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.694859266281128,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned171.spectra,2022-10-10 14:32:48,FastLAS,False
4,Traffic,False,2,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.9035820960998535,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned172.spectra,2022-10-10 14:32:48,FastLAS,True
5,Traffic,False,2,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.9352259635925293,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned173.spectra,2022-10-10 14:32:48,FastLAS,False
6,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.866780996322632,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned174.spectra,2022-10-10 14:32:48,FastLAS,True
7,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.6738808155059814,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned175.spectra,2022-10-10 14:32:48,FastLAS,False
8,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.856219530105591,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned176.spectra,2022-10-10 14:32:48,FastLAS,True
9,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.6890878677368164,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned177.spectra,2022-10-10 14:32:48,FastLAS,False
10,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.8811776638031006,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned178.spectra,2022-10-10 14:32:48,FastLAS,True
11,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.786341905593872,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned179.spectra,2022-10-10 14:32:48,FastLAS,False
12,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.7646381855010986,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned180.spectra,2022-10-10 14:32:48,FastLAS,True
13,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.804408311843872,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned181.spectra,2022-10-10 14:32:48,FastLAS,False
14,Traffic,False,3,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.887848138809204,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned182.spectra,2022-10-10 14:32:48,FastLAS,True
15,Traffic,False,3,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.837804079055786,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned183.spectra,2022-10-10 14:32:48,FastLAS,False
16,Traffic,False,3,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.917733907699585,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned184.spectra,2022-10-10 14:32:48,FastLAS,True
17,Traffic,False,3,5,4,2,3.0,3,3,4.0,4,4,1,0,0,0,0,2.83713960647583,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned185.spectra,2022-10-10 14:32:48,FastLAS,False
18,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.8349061012268066,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned186.spectra,2022-10-10 14:32:48,FastLAS,True
19,Traffic,False,3,5,4,1,3.0,3,3,4.0,4,4,1,0,0,0,0,2.802245855331421,Realizable,../Translators/output-files/rq_files/traffic_updated_FINAL_strong_fixed_patterned187.spectra,2022-10-10 14:32:48,FastLAS,False
20,Genbuf,False,2,28,81,1,2.0,2,2,3.0,3,3,1,0,0,0,0,6.7332847118377686,Realizable,../Translators/output-files/rq_files/genbuf_05_normalised_dropped_fixed145.spectra,2022-10-10 14:32:48,FastLAS,True
21,Genbuf,False,2,28,81,1,2.0,2,2,3.0,3,3,1,0,0,0,0,6.042436361312866,Realizable,../Translators/output-files/rq_files/genbuf_05_normalised_dropped_fixed146.spectra,2022-10-10 14:32:48,FastLAS,False
